0,1,2,3,4,5,6,7,8,9,10
Mexico City,19.432608,-99.133208,5101.68,0.26,733.2098291887027,29.4,1,96.06,55,39
Tokyo,35.681382,139.766084,8592.12,2.3,4160.36,4.82,1,93.3,235,170
New York,40.6643,-73.9385,9882.07,0.11,5191.16,40.22,2,97.56,356,323
London,51.507351,-0.127758,6920.87,2.85,2421.78,38.79,6,79.55,47,40
Toronto,43.653226,-79.383184,14412.81,0.16,2071.3988251378414,1511.47,2,87.78,50,15
Sydney,-33.867487,151.20699,12229.11,0.16,1757.5590108022955,52.86,2,87.06,279,220
Melbourne,-37.814107,144.96328,10103.28,0.13,1452.0362317992572,40.47,2,87.32,281,236
Los Angeles,34.0194,-118.4108,83682.18,0.91,8418.85,5.48,1,100.0,169,169
Busan,35.179554,129.075642,724.77,0.73,104.1634300663891,8.93,2,95.92,218,205
Berlin,52.5170365,13.3888599,6176.37,1.73,1233.73,208.14,1,80.4,276,9
Montreal,45.501689,-73.567256,10962.77,0.12,1575.5615246614905,791.84,6,78.02,191,40
Madrid,40.416775,-3.70379,11537.63,2.3,984.54,28.44,2,79.86,272,15
Rome,41.902784,12.496366,5686.46,1.93,669.84,240.49,1,66.57,147,1
Chicago,41.8376,-87.6818,18910.46,0.21,6302.59,427.11,1,96.73,540,226
Osaka,34.653345,135.511968,7003.88,1.88,2185.26,11.01,1,91.32,160,115
Daegu,35.871435,128.601445,1113.43,1.12,160.02136945350887,33.97,1,94.54,155,143
Valencia,10.157931,-67.99721,1474.97,0.29,191.05,16.07,1,51.6,56,1
Paris,48.856614,2.352222,12089.37,2.22,2416.36,94.14,5,79.47,1375,311
Nagoya,35.136395,136.934833,3943.23,1.06,1233.21,7.67,1,82.72,81,51
Houston,29.7805,-95.3863,22488.43,0.25,4827.18,715.86,1,90.33,109,44
Vancouver,49.282729,-123.120738,5063.57,0.06,727.7326870334946,114.35,1,93.59,44,36
Brisbane,-27.471011,153.023449,15441.89,0.2,2219.297472450396,606.88,2,73.92,236,163
Sapporo,43.06208,141.354361,2174.93,0.58,394.83,171.06,1,93.08,15,11
Perth,-31.953513,115.857047,6309.49,0.08,906.7954252653687,49.55,1,77.13,173,111
Hamburg,53.5437641,10.0099133,5760.18,1.61,894.16,928.57,1,57.96,308,1
Budapest,47.497912,19.040235,6056.87,6.51,949.41,421.13,1,61.9,183,1
Vienna,48.208174,16.373819,9093.06,11.03,961.98,240.53,1,63.54,313,1
Warsaw,52.229676,21.012229,8611.73,2.75,743.18,1060.23,1,58.02,101,12
Barcelona,41.385064,2.173403,1362.03,0.27,415.27,2.5,3,77.27,75,13
Philadelphia,40.0094,-75.1333,4326.91,0.05,2103.98,380.63,1,100.0,202,202
Daejeon,36.350412,127.384548,995.6,1.0,143.08692547166268,33.46,1,95.6,87,74
Phoenix,33.5722,-112.088,23889.14,0.26,2668.25,10.98,1,100.0,24,24
Guadalajara,20.677504,-103.347824,2478.44,0.13,356.1996379730693,132.76,1,90.5,7,4
Gwangju,35.159545,126.852601,696.43,0.7,100.0904253778928,44.69,1,94.3,98,86
Puebla,19.103906,-98.188942,1343.51,0.07,193.0883037770526,130.1,1,76.98,11,2
Fukuoka,33.590355,130.401716,1153.78,0.31,380.48,6.82,1,80.23,29,16
San Antonio,29.4724,-98.5251,19126.6,0.21,2057.9,150.54,1,91.2,43,22
Munich,48.1372719,11.5754815,6263.09,1.75,704.83,586.49,1,47.39,212,1
Stockholm,59.329323,18.068581,7106.87,1.73,863.34,120.96,3,74.49,28,12
San Diego,32.8153,-117.135,11028.58,0.12,2030.81,11.17,1,100.0,18,18
Milan,45.465422,9.185924,2637.77,0.89,741.07,23.47,1,76.05,252,115
Tijuana,32.522984,-117.112586,1252.14,0.06,179.9566722178463,1.42,1,100.0,1,1
Prague,50.075538,14.4378,3929.04,5.09,586.43,286.7,2,72.45,435,2
Dallas,32.7757,-96.7967,12067.76,0.13,3032.58,235.62,1,92.54,117,82
Adelaide,-34.928621,138.599959,3239.1,0.04,465.52115337009116,31.23,2,87.98,109,87
Copenhagen,55.676097,12.568337,4083.69,9.48,807.63,389.5,1,59.99,57,17
Hiroshima,34.398205,132.475824,1193.35,0.32,212.15,11.75,1,95.39,14,11
Ulsan,35.538377,129.31136,726.67,0.73,104.43649671805258,60.64,1,90.66,51,44
Monterrey,25.592172,-99.996195,10984.38,0.56,1578.6672985259365,53.96,1,89.64,20,7
Calgary,51.048615,-114.070846,12478.49,0.14,1793.399727429579,1308.08,1,85.82,21,1
Changwon,35.270833,128.663056,166.53,0.17,23.93357342185214,1.65,1,100.0,40,38
Cologne,50.9383611,6.9599738,1971.56,0.55,482.84,72.01,1,58.39,25,2
Sendai,38.260297,140.882049,1658.58,0.44,382.33,25.1,1,78.4,22,8
Brussels,50.85034,4.35171,3265.7,10.77,1014.37,309.2,1,43.69,99,19
Naples,40.851775,14.268124,1558.57,0.53,363.76,13.05,2,87.4,116,81
Edmonton,53.544389,-113.490927,19808.01,0.22,2846.7931404298406,5918.52,1,76.89,67,9
Austin,30.3072,-97.756,11084.37,0.12,1660.73,183.4,1,70.49,44,26
Turin,45.070312,7.686856,1781.34,0.6,308.57,246.03,1,50.44,89,1
Marseille,43.296482,5.36978,4230.79,0.78,478.68,49.38,1,87.58,132,64
Indianapolis,39.7767,-86.1459,6929.77,0.08,1741.3,1097.71,1,56.8,138,24
Jacksonville,30.337,-81.6613,8871.53,0.1,1266.69,174.04,1,79.88,14,5
San Francisco,37.7751,-122.4193,17089.9,0.19,3648.6,24.18,2,69.48,93,62
Columbus,39.9848,-82.985,11491.61,0.13,1650.16,1800.1,1,79.43,205,42
Niigata,37.912027,139.061883,1538.91,0.41,303.78,161.91,1,74.94,8,1
Hamamatsu,34.711849,137.723736,1455.54,0.39,229.13,21.02,1,81.09,3,1
Chihuahua,28.636218,-106.094147,8861.48,0.45,1273.5656170436216,2.53,1,98.94,2,1
Valencia,39.469908,-0.376288,1474.97,0.29,191.05,16.07,1,51.6,56,1
Amsterdam,52.370216,4.895168,2819.84,8.35,592.55,223.33,4,68.74,57,9
Charlotte,35.2087,-80.8307,4016.56,0.04,1298.6,890.46,1,71.79,25,7
Fort Worth,32.7795,-97.3463,4681.62,0.05,1508.91,25.76,1,94.05,46,34
Leeds,53.800755,-1.549077,1726.0,0.71,334.15,181.08,1,91.85,3,2
Aguascalientes,21.881986,-102.291668,2308.08,0.12,331.71561966917966,249.82,1,84.99,4,1
Athens,37.983917,23.72936,1656.14,1.27,435.86,0.95,1,79.78,94,49
Hermosillo,29.078336,-110.95273,16926.97,0.86,2432.7321161621844,32.47,1,100.0,1,1
Shizuoka,34.97171,138.38884,1171.16,0.31,124.57,13.01,1,96.94,5,3
Saltillo,25.424175,-100.998635,5562.31,0.28,799.4112459022542,8.8,1,100.0,1,1
Seville,37.389092,-5.984459,4164.31,0.83,216.52,14.62,1,59.65,42,2
Okayama,34.666369,133.918588,1096.05,0.29,210.22,85.65,1,77.67,8,1
Mexicali,32.656793,-115.41553,15813.24,0.81,2272.667630921571,9.43,1,100.0,1,1
Detroit,42.383,-83.1022,5244.45,0.06,3142.47,533.35,1,100.0,131,131
Palermo,38.115688,13.361267,835.58,0.28,167.41,44.86,1,72.02,25,1
El Paso,31.8484,-106.427,14467.58,0.16,532.77,3.99,1,99.55,7,6
Winnipeg,49.899754,-97.137494,21715.54,0.24,3120.941998349649,4889.14,1,81.77,42,1
Hamilton,43.250021,-79.866091,2571.88,0.03,369.6287684632985,2975.75,1,85.93,6,1
Kumamoto,32.790065,130.689401,813.83,0.22,200.56,24.15,1,72.97,14,2
Cheongju,36.642434,127.489032,578.93,0.58,83.20340876186188,95.55,1,86.06,39,28
Memphis,35.1035,-89.9785,13234.05,0.14,1477.38,3179.16,1,86.41,47,7
Seattle,47.6205,-122.3509,11172.99,0.12,2014.57,109.23,1,100.0,57,57
Denver,39.7618,-104.8806,21794.38,0.24,1897.78,5.3,1,97.84,39,28
Jeonju,35.824224,127.147953,503.06,0.51,72.29942620306817,44.48,1,89.39,39,32
Washington,38.9041,-77.0171,16605.51,0.18,3124.01,1108.6,1,86.55,91,60
Boston,42.332,-71.0202,4829.9,0.05,2128.74,88.2,1,100.0,120,120
Nashville,36.1718,-86.785,9094.09,0.1,1263.65,4627.74,1,52.08,40,7
Baltimore,39.3002,-76.6105,3730.13,0.04,1175.97,1009.25,1,87.83,6,3
Zaragoza,41.648823,-0.889085,11890.63,2.37,142.71,59.61,1,82.81,210,1
Oslo,59.913869,10.752245,7099.16,2.33,460.0,325.95,1,48.09,30,1
Helsinki,60.173324,24.941025,6350.71,2.09,790.19,81.93,1,70.05,22,4
Louisville,38.1781,-85.6667,9429.64,0.1,1119.44,4354.44,1,86.06,161,85
Portland,45.537,-122.65,17657.21,0.19,1959.51,458.91,1,75.67,58,25
Kagoshima,31.601431,130.563015,762.65,0.2,148.69,12.24,1,86.19,3,1
Stuttgart,48.7784931,9.1800456,1987.61,0.56,410.32,178.32,2,39.27,95,3
Las Vegas,36.2277,-115.264,67988.47,0.74,1252.95,1.86,1,97.76,6,5
Kochi,9.931233,76.267304,985.06,0.26,106.29,24.02,1,66.4,8,1
Milwaukee,43.0633,-87.9667,3865.74,0.04,1295.2,1614.69,1,61.61,90,19
Glasgow,55.864237,-4.251806,855.84,0.35,262.28,106.96,2,62.49,7,1
Morelia,19.566519,-101.706829,1935.06,0.1,278.1054499831214,223.68,1,87.62,4,1
Gold Coast-Tweed Heads,-27.923641,153.207254,1811.08,0.02,260.28713236562766,234.82,1,59.61,47,26
Reynosa,26.098218,-98.285327,4686.45,0.24,673.5332682570046,43.33,1,82.35,2,1
Dortmund,51.5142273,7.4652789,547.87,0.15,225.75,62.95,1,68.76,6,1
Essen,51.4572062,7.0114963,344.67,0.1,183.85,40.54,1,90.21,3,2
Albuquerque,35.1056,-106.6474,24079.87,0.26,816.88,74.1,1,75.42,17,3
Gothenburg,57.70887,11.97456,3850.19,0.94,412.66,306.57,1,56.37,12,1
Bremen,53.0758099,8.80717,3176.34,0.89,373.37,1425.69,1,52.92,61,1
Rotterdam,51.92442,4.477733,1480.0,4.38,377.96,72.88,1,60.32,36,5
Himeji,34.824797,134.709449,881.27,0.24,177.37,26.43,1,72.18,10,2
Leipzig,51.3391827,12.3810549,2121.96,0.59,350.88,359.54,1,59.32,62,1
Dresden,51.0493286,13.7381437,1716.19,0.48,299.1,520.64,1,60.38,41,1
Dublin,53.349805,-6.26031,4767.19,6.97,496.4,23.66,1,76.78,7,4
Tucson,32.1543,-110.8711,23799.97,0.26,844.28,1.16,1,100.0,5,5
Durango,24.013998,-104.677679,9185.1,0.47,1320.0760537864294,235.78,1,100.0,1,1
Hanover,52.3744779,9.7385532,3090.73,0.87,416.78,557.83,1,41.68,55,1
Pohang,36.019018,129.343481,814.95,0.82,117.12403567007988,103.08,1,67.68,27,15
Matsuyama,33.829016,132.704079,796.88,0.21,126.27,53.44,1,80.19,5,1
Fresno,36.7827,-119.7945,21162.1,0.23,1163.81,86.29,1,86.3,17,15
Lisbon,38.722252,-9.139337,3988.31,4.33,562.89,67.38,2,85.29,235,157
Utsunomiya,36.55505,139.882809,989.68,0.26,226.89,91.37,1,62.49,11,2
Nuremberg,49.4538723,11.0772978,3122.57,0.87,315.26,680.39,1,51.78,105,2
Manchester,53.480759,-2.242631,1435.01,0.59,493.15,147.68,1,88.23,10,6
Toluca,19.432608,-99.133208,2190.89,0.11,314.873156033157,246.64,1,73.29,15,5
Duisburg,51.44620175,6.74207596814,671.31,0.19,231.35,122.63,1,73.04,9,2
Lyon,45.764043,4.835659,3647.29,0.67,643.84,504.53,3,68.61,327,59
Kurashiki,34.602065,133.765676,530.72,0.14,148.6,20.94,1,81.96,5,1
Liverpool,53.408371,-2.991573,556.66,0.23,247.97,63.23,1,79.08,4,2
Kansas City,39.1252,-94.5511,19095.39,0.21,2682.55,4502.54,1,89.98,217,29
Barcelona,10.144569,-64.67768,1362.03,0.27,415.27,2.5,3,77.27,75,13
Fukuyama,34.489327,133.361432,707.01,0.19,140.19,33.3,1,74.65,4,1
Antwerp,51.219448,4.402464,1169.26,3.86,459.02,322.86,1,45.79,32,1
Kanazawa,36.561049,136.656574,1282.8,0.34,171.25,128.85,1,68.88,8,2
Nagasaki,32.752644,129.870829,381.54,0.1,86.91,15.13,1,97.63,4,3
Edinburgh,55.953252,-3.188267,1279.59,0.53,213.95,223.23,1,66.69,5,1
Atlanta,33.7629,-84.4227,9796.08,0.11,3797.96,115.63,1,38.6,67,18
Toulouse,43.604652,1.444209,5242.14,0.96,412.37,192.32,1,59.01,434,37
Colorado Springs,38.8673,-104.7607,6963.22,0.08,492.39,17.17,1,96.3,11,8
Sheffield,53.381129,-1.470085,1109.88,0.46,254.75,280.24,1,90.86,4,2
Omaha,41.2647,-96.0419,11411.74,0.12,1277.58,775.16,1,60.06,108,7
Raleigh,35.8302,-78.6414,5562.72,0.06,994.02,1885.41,1,79.33,27,12
Bratislava,48.145892,17.107137,2600.66,5.3,273.37,460.9,1,61.09,136,17
Veracruz,19.200512,-96.138038,1056.65,0.05,151.86098814748138,601.99,1,89.02,5,2
Xalapa,19.173773,-96.134224,1313.03,0.07,188.707739807209,525.17,1,63.38,11,1
Toyama,36.701226,137.21319,1563.38,0.42,159.57,331.2,1,77.49,7,1
Bristol,51.454513,-2.58791,807.31,0.33,219.6,125.53,1,52.91,4,1
Takamatsu,34.218664,134.01882,598.83,0.16,111.72,18.61,1,65.09,10,1
Miami,25.7752,-80.2086,14179.44,0.15,3027.61,153.36,1,100.0,97,97
Brno,49.19506,16.606837,2359.25,3.05,231.63,449.38,2,58.99,245,1
Zurich,47.36865,8.539183,1176.16,2.94,309.0,286.69,1,31.38,140,1
Minneapolis,44.9633,-93.2683,21030.86,0.23,2972.98,3059.49,1,91.77,329,59
Tulsa,36.1279,-95.9023,18235.43,0.2,1740.57,2239.37,1,64.11,79,12
Tallinn,59.436961,24.753575,4326.3,9.96,254.44,1467.77,1,75.21,28,1
Cleveland,41.4781,-81.6795,1790.11,0.02,1241.58,493.97,1,85.26,82,59
Wichita,37.6907,-97.3427,9428.96,0.1,866.81,43.1,1,84.48,129,46
Irapuato,20.678665,-101.354496,843.86,0.04,121.27896035407522,238.61,1,100.0,1,1
New Orleans,30.0686,-89.939,12510.83,0.14,951.3,192.72,1,80.84,18,7
Nagano,36.658992,138.187705,1241.81,0.33,160.63,248.79,1,69.04,10,1
Toyohashi,34.762811,137.381651,764.3,0.2,149.94,31.14,1,85.11,7,3
Wakayama,34.232128,135.191134,422.57,0.11,107.45,38.55,1,70.07,7,1
Bologna,44.494887,11.342616,2036.1,0.69,153.13,192.88,1,51.01,32,1
London,42.98695,-81.243177,6920.87,2.85,2421.78,38.79,6,79.55,47,40
Bochum,51.482321,7.2187465,319.87,0.09,171.39,26.57,2,80.28,4,2
Florence,43.76956,11.255814,1737.87,0.59,116.66,513.5,1,50.01,24,1
Lublin,51.246454,22.568446,3222.11,1.03,133.75,487.67,1,52.7,33,1
Bilbao,43.263013,-2.934985,1141.01,0.23,88.09,214.03,2,53.84,57,3
Tampa,27.9701,-82.4797,2819.26,0.03,1010.92,501.85,1,100.0,3,3
Nice,43.710173,7.261953,3096.9,0.57,233.4,236.65,1,82.23,135,42
Celaya,20.52164,-100.813602,1160.47,0.06,166.78192487153518,327.23,1,77.51,3,1
Cuernavaca,18.858841,-99.222601,947.07,0.05,136.11222831101608,205.14,1,86.7,7,4
Leicester,52.636878,-1.139759,1099.2,0.45,171.12,326.21,1,71.33,4,2
Katowice,50.264892,19.023782,3920.33,1.25,749.92,327.13,1,56.95,60,8
Bari,41.117143,16.871871,754.98,0.26,103.59,0.75,1,55.26,17,1
Maebashi,36.383191,139.073177,1188.35,0.32,272.17,38.41,1,63.43,19,4
Cardiff,51.481581,-3.17909,736.87,0.3,185.32,174.51,1,52.24,5,1
Ostrava,49.820923,18.262524,931.72,1.21,193.02,490.78,2,69.8,67,2
Naha,26.212312,127.679157,418.89,0.11,213.55,95.67,1,68.55,21,8
Catania,37.507877,15.08303,609.35,0.21,145.05,35.79,1,49.11,21,1
Bonn,50.7358511,7.1006599,1066.66,0.3,195.51,116.62,1,48.5,31,2
Yokkaichi,34.963085,136.629654,433.2,0.12,149.27,27.65,1,56.87,5,2
Pittsburgh,40.4398,-79.9766,1928.85,0.02,1018.11,605.19,1,100.0,128,128
Karlsruhe,49.0140679,8.4044366,1323.91,0.37,199.52,225.4,1,42.11,62,1
Cincinnati,39.1399,-84.5064,10779.42,0.12,1976.41,3061.74,1,92.54,216,63
Tampico,22.305992,-97.860086,2091.3,0.11,300.56015190728033,452.24,1,75.78,4,3
Mannheim,49.4895914,8.4672361,1949.78,0.55,350.81,82.64,1,40.37,115,3
Bradford,53.795984,-1.759398,443.63,0.18,175.38,160.25,1,95.23,3,1
Utrecht,52.090737,5.12142,622.67,1.84,159.81,246.48,1,41.88,14,1
Nantes,47.218371,-1.553621,3143.52,0.58,313.93,618.99,1,69.05,108,24
Ljubljana,46.056947,14.505751,3145.03,15.62,145.38,984.22,1,49.34,28,1
Augsburg,48.3668041,10.8986971,1803.5,0.51,187.61,756.98,1,44.55,66,1
Strasbourg,48.573405,7.752111,2030.87,0.37,261.18,369.56,1,62.33,250,28
Venice,45.440847,12.315515,1089.17,0.37,133.51,1.2,1,49.4,14,1
Gwangju,37.417141,127.256141,696.43,0.7,100.0904253778928,44.69,1,94.3,98,86
Tokushima,34.074642,134.550764,791.65,0.21,129.92,26.12,1,47.11,14,1
Mito,36.371091,140.476207,644.15,0.17,179.5,70.46,1,45.1,7,1
Buffalo,42.8925,-78.8597,4111.52,0.04,865.98,2298.04,1,81.05,63,43
Montpellier,43.610769,3.876716,2236.6,0.41,202.57,214.43,1,66.21,134,31
Orlando,28.4159,-81.2988,10390.36,0.11,1598.71,515.18,1,74.81,22,13
Graz,47.070714,15.439504,3074.2,3.73,267.27,942.72,1,41.87,174,1
Nottingham,52.954783,-1.158109,1110.74,0.46,228.68,277.07,1,75.75,5,2
Ghent,51.054342,3.717424,1017.36,3.35,295.85,764.59,1,42.09,24,1
Madison,43.0878,-89.4301,5268.07,0.06,588.66,5214.03,1,89.36,93,59
Porto,41.157944,-8.629105,951.54,1.03,257.67,67.61,1,82.0,150,90
Aachen,50.776351,6.0838618,775.3,0.22,158.68,245.7,1,41.33,12,1
Bordeaux,44.837789,-0.57918,5485.85,1.01,495.8,1379.67,1,64.69,243,27
Baton Rouge,30.4485,-91.1259,6438.7,0.07,765.81,878.0,1,69.42,25,3
Lille,50.62925,3.057256,1453.1,0.27,352.98,41.46,2,82.82,179,87
Freiburg im Breisgau,47.9960901,7.8494005,1515.07,0.42,119.47,600.75,1,40.5,58,1
Richmond,37.5314,-77.476,795.09,0.01,384.01,219.1,1,41.16,2,1
Eindhoven,51.441642,5.469722,1199.68,3.55,210.92,854.07,2,43.56,19,2
Des Moines,41.5739,-93.6167,9020.15,0.1,931.65,5355.11,1,72.14,70,17
Rennes,48.117266,-1.677793,3815.73,0.7,240.43,535.35,2,60.72,190,37
Numazu,35.096932,138.879132,482.25,0.13,113.46,31.87,1,90.63,7,6
Columbus,32.5102,-84.8749,11491.61,0.13,1650.16,1800.1,1,79.43,205,42
Akron,41.0805,-81.5214,1087.89,0.01,613.7,1285.04,1,100.0,32,32
Little Rock,34.7254,-92.3586,7781.82,0.08,867.05,2971.59,1,58.99,34,8
Geneva,46.198392,6.142296,1566.51,3.92,228.58,742.01,2,34.77,193,13
Grand Rapids,42.9612,-85.6556,2258.97,0.02,710.22,2856.7,1,100.0,34,34
Salt Lake City,40.7785,-111.9314,27710.01,0.3,864.61,594.56,1,91.98,29,15
Linz,48.30694,14.28583,3523.72,4.27,212.38,1749.38,1,31.39,140,1
Portsmouth,50.816667,-1.083333,428.6,0.18,145.53,94.04,2,89.66,3,2
Valencia,7.9,125.083333,1474.97,0.29,191.05,16.07,1,51.6,56,1
Providence,41.8231,-71.4188,1665.12,0.02,561.65,123.23,1,94.04,24,21
Basel,47.567442,7.597551,1430.18,3.58,216.99,380.21,1,22.07,167,1
Vancouver,45.6372,-122.5965,5063.57,0.06,727.7326870334946,114.35,1,93.59,44,36
Toulon,43.124228,5.928,1048.19,0.19,176.39,14.05,1,77.97,35,12
Grenoble,45.188529,5.724524,2694.43,0.5,188.4,1126.93,1,62.12,193,27
Hamilton,-37.787001,175.279253,2571.88,0.03,369.6287684632985,2975.75,1,85.93,6,1
Kansas City,39.1225,-94.7418,19095.39,0.21,2682.55,4502.54,1,89.98,217,29
Los Angeles,-37.472872,-72.354452,83682.18,0.91,8418.85,5.48,1,100.0,169,169
Dayton,39.7774,-84.1996,2280.64,0.02,750.05,1108.62,1,77.74,50,28
Columbia,34.0298,-80.8966,3961.67,0.04,797.32,229.21,1,59.56,19,5
Santiago,16.714983,121.553715,4557.33,0.62,654.9762334871159,19.0,1,94.88,47,39
Charleston,32.8179,-79.9589,7361.17,0.08,647.97,492.36,1,54.24,27,16
Athens,33.9496,-83.3701,1656.14,1.27,435.86,0.95,1,79.78,94,49
Columbia,38.9479,-92.3261,3961.67,0.04,797.32,229.21,1,59.56,19,5
Rouen,49.443232,1.099971,2870.11,0.53,262.04,683.08,1,71.49,346,71
Manchester,42.9847,-71.4439,1435.01,0.59,493.15,147.68,1,88.23,10,6
Richmond,37.953,-122.3594,795.09,0.01,384.01,219.1,1,41.16,2,1
